typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","0","W00","World","0","W00","World","H4","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1084150478","1084150478","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","156","CHN","China","0","W00","World","H4","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"271597220","271597220","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","0","W00","World","0","W00","World","H4","HS","true","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3105803215","3105803215","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","156","CHN","China","0","W00","World","H4","HS","true","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1212441243","1212441243","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","0","W00","World","0","W00","World","H4","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2500772198","2500772198","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","156","CHN","China","0","W00","World","H4","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"434050605","434050605","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","0","W00","World","0","W00","World","H4","HS","true","74","Copper and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2008899405","2008899405","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","156","CHN","China","0","W00","World","H4","HS","true","74","Copper and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"781667259","781667259","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","0","W00","World","0","W00","World","H4","HS","true","78","Lead and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"190115966","190115966","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","156","CHN","China","0","W00","World","H4","HS","true","78","Lead and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"42204771","42204771","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","0","W00","World","0","W00","World","H4","HS","true","79","Zinc and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"577011783","577011783","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","156","CHN","China","0","W00","World","H4","HS","true","79","Zinc and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"330004172","330004172","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","0","W00","World","0","W00","World","H4","HS","true","81","Metals; n.e.c., cermets and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"172240421","172240421","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","156","CHN","China","0","W00","World","H4","HS","true","81","Metals; n.e.c., cermets and articles thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1969966","1969966","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"45954426051","45954426051","0","true","false",
"C","A","20150101","2015","52","2015","398","KAZ","Kazakhstan","X","Export","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5480137487","5480137487","0","true","false",
"C","A","20160101","2016","52","2016","398","KAZ","Kazakhstan","M","Import","0","W00","World","0","W00","World","H4","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","694568515",,"694568515","0","true","false",
